"SEX","EDUCATION","MARRIAGE","PAY_1","AGE","LIMIT_BAL","BILL_AMT1","PAY_AMT1","Default"
"2","2","1","2",-1.24599908126182,-1.13670120050894,-0.642490364480401,-0.341935919633423,"1"
"2","2","2","-1",-1.02903001918149,-0.365974400564224,-0.659207762639106,-0.341935919633423,"1"
"2","2","2","0",-0.161153770860166,-0.597192440547639,-0.298554681484985,-0.250287407529898,"0"
"2","2","1","0",0.164299822260331,-0.905483160525525,-0.057490071643256,-0.221186891829042,"0"
"1","2","1","-1",2.33399044306365,-0.905483160525525,-0.578608446577438,-0.221186891829042,"0"
"1","1","2","0",0.164299822260331,-0.905483160525525,0.178943642364096,-0.190999634877947,"0"
"1","1","2","0",-0.703576426060995,2.5627874392257,4.30145946043657,2.97866234498703,"0"
"2","2","2","0",-1.35448361230199,-0.520119760553167,-0.534350119526895,-0.31899360435059,"0"
"2","3","1","0",-0.812060957101161,-0.21182904057528,-0.542376100283836,-0.140949162853032,"0"
"1","3","2","-2",-0.0526692398200007,-1.13670120050894,-0.695630233688372,-0.341935919633423,"0"
"2","3","2","0",-0.161153770860166,0.250607039391549,-0.54525513229817,-0.202712290574972,"0"
"2","1","2","-1",1.68308325682265,0.713043119358379,-0.529121688746147,0.97531522468456,"0"
"2","2","2","-1",0.598237946420994,3.56473227915383,-0.530805650867738,-0.281561405731232,"0"
"1","2","2","1",-0.595091895020829,-0.751337800536582,0.197983278609835,-0.148737475146414,"1"
"1","1","2","0",-0.703576426060995,0.635970439363908,0.267039305934785,-0.160812377926852,"0"
"2","3","3","1",-1.35448361230199,-0.905483160525525,-0.00827492060576925,-0.341935919633423,"0"
"1","1","2","0",-1.24599908126182,-1.13670120050894,-0.486818930611,-0.148737475146414,"1"
"1","1","1","0",1.46611419474232,1.17547919932521,2.74407968509774,0.283423295365462,"0"
"2","1","1","1",1.46611419474232,1.4837699193031,-0.695630233688372,-0.341935919633423,"0"
"2","1","2","1",-0.703576426060995,0.0964616794026062,-0.695630233688372,-0.341935919633423,"0"
"2","3","2","0",0.381268884340662,-0.288901720569752,-0.174715563849543,-0.160812377926852,"0"
"2","2","1","-1",0.381268884340662,-0.365974400564224,-0.691338846346251,-0.32285757324033,"1"
"2","2","2","2",-1.02903001918149,-0.751337800536582,-0.137654816834835,-0.220764270231727,"1"
"2","1","1","-2",0.489753415380828,2.17742403925334,-0.620775401315682,0.831020136458326,"1"
"1","1","2","0",-1.35448361230199,-0.597192440547639,-0.631205102197799,0.00564015690148564,"0"
"1","3","2","0",-1.35448361230199,-0.905483160525525,-0.0489344576383949,-0.222817003704402,"0"
"1","1","2","1",-0.920545488141327,-0.828410480531054,-0.69711049071461,-0.341935919633423,"1"
"2","3","2","0",-0.595091895020829,-0.905483160525525,-0.389515796730318,-0.263449051560575,"0"
"2","3","1","-1",1.24914513266199,-0.905483160525525,-0.686803012889706,-0.135756954657443,"0"
"1","1","2","0",-1.02903001918149,-0.905483160525525,-0.487457206576442,-0.251374148780137,"0"
"2","1","2","-1",-0.920545488141327,0.481825079374964,-0.469571899204375,0.7007319354574,"0"
"1","2","2","2",-0.269638301900332,-0.905483160525525,-0.281185427021148,-0.23821250474946,"1"
"1","1","2","0",-0.378122832940498,-0.520119760553167,0.567830249734259,-0.159423764107102,"0"
"2","2","1","-2",2.00853684994315,2.5627874392257,-0.547210701213567,-0.0912609379115294,"0"
"1","1","1","-2",2.44247497410381,2.5627874392257,-0.509457356874656,-0.0397011030390591,"0"
